Week,Australia,China,France,Germany,Iran,Israel,Italy,New_Zealand,Russia,Spain,Thailand,Turkey,UK,USA
1,0,32,0,0,0,0,0,0,0,0,0,46,0,0
2,0,0,0,0,0,0,0,0,0,0,1,1482,0,0
3,0,327,0,0,0,0,0,0,0,0,1,9298,0,1
4,4,4142,3,1,0,0,0,0,0,0,12,19390,0,4
5,7,15920,3,10,0,0,3,0,2,1,5,30832,2,6
6,3,22248,5,2,0,0,0,0,0,1,13,29931,6,2
7,1,29812,1,2,0,0,0,0,0,0,3,21281,1,2
8,7,5241,0,0,61,2,226,0,0,1,2,15398,4,38
9,11,2512,166,142,1440,NA,1807,1,1,189,6,12112,27,50
10,67,618,1234,982,5660,NA,7136,NA,7,2107,7,10822,281,651
11,275,184,5221,4873,7830,221,18808,NA,83,11695,127,7221,1222,3907
12,1448,490,13223,23200,8058,1182,35947,134,345,34959,650,6955,5107,41781
13,2734,688,24694,32701,18446,3031,37812,505,1398,55314,824,6352,15491,118178
14,1287,457,29840,37312,19005,4431,30808,296,4507,43340,607,8710,29467,203576
15,522,605,23686,25873,12803,2682,26969,129,11985,30460,355,NA,37013,214398
16,259,546,16581,18359,10202,2127,21712,35,28793,20354,179,NA,36122,205158
17,100,89,11113,12880,7967,1753,18186,17,40026,14674,146,NA,32406,200699
18,100,28,6093,7523,7175,780,12524,13,58121,7149,49,NA,33435,192183
19,123,45,7656,6648,10639,260,7876,10,76076,8008,28,NA,32476,167282
20,112,52,3384,4702,13206,115,6072,6,69334,3785,16,NA,23346,160682
21,58,39,2376,3792,15232,113,4272,1,62749,4222,11,NA,14778,153704
22,86,52,6812,3026,16721,485,3039,0,61451,3673,40,NA,15148,148975
23,61,40,2097,2515,19387,870,2081,0,61780,2034,37,NA,11067,149908
24,70,184,3184,2296,16044,1249,2012,2,60552,NA,16,NA,9458,152841
